x, y
90, 72
91, 67
89, 70
88, 71
87, 72
86, 73
86, 74
85, 75
85, 75
85, 75
85, 76
85, 76
85, 76
85, 76
85, 76
85, 76
86, 76
87, 77
87, 77
87, 77
87, 77
87, 76
87, 77
87, 78
86, 78
87, 78
86, 78
86, 77
86, 77
86, 77
86, 77
85, 77
85, 76
86, 76
86, 76
86, 75
86, 75
86, 76
86, 77
84, 80
86, 76
86, 76
86, 76
86, 76
86, 76
87, 75
86, 76
86, 76
86, 76
86, 76
87, 76
86, 75
87, 75
87, 75
87, 76
87, 76
87, 76
86, 77
87, 77
86, 77
87, 76
87, 76
87, 76
87, 76
86, 76
85, 77
85, 78
84, 78
83, 77
83, 76
83, 76
83, 75
82, 75
83, 75
83, 74
83, 73
83, 73
83, 73
82, 73
83, 73
83, 74
83, 74
84, 75
85, 77
85, 77
86, 78
87, 80
86, 81
87, 82
87, 82
87, 83
88, 84
88, 82
89, 79
88, 78
87, 79
86, 79
86, 80
86, 80
85, 80
85, 80
86, 80
87, 80
87, 79
87, 79
87, 79
87, 80
87, 81
87, 83
87, 83
86, 84
86, 84
86, 84
86, 84
87, 83
87, 82
86, 82
86, 82
86, 81
86, 80
86, 79
86, 79
86, 78
86, 77
86, 77
87, 77
87, 78
87, 79
87, 78
88, 78
87, 77
87, 77
87, 77
87, 77
87, 77
86, 76
86, 76
86, 75
86, 75
86, 75
86, 74
87, 74
87, 74
87, 74
87, 74
87, 74
87, 75
87, 74
87, 74
87, 74
87, 75
87, 75
87, 75
88, 75
88, 74
88, 74
88, 74
88, 75
88, 75
89, 75
90, 74
89, 75
89, 75
89, 76
88, 77
88, 77
87, 78
86, 79
86, 80
86, 79
87, 79
87, 79
87, 79
88, 79
89, 78
89, 77
89, 77
89, 76
90, 76
90, 76
90, 75
90, 75
90, 75
90, 75
90, 75
90, 75
90, 76
90, 76
90, 76
90, 75
90, 75
90, 75
90, 74
90, 75
90, 75
92, 74
93, 74
93, 75
93, 75
93, 75
93, 75
92, 75
91, 74
90, 74
90, 73
89, 72
89, 72
89, 72
89, 72
89, 73
88, 73
88, 74
87, 75
86, 76
86, 76
86, 76
85, 75
84, 75
84, 75
84, 75
84, 75
85, 75
86, 75
85, 75
86, 75
86, 76
86, 76
87, 76
88, 76
88, 75
89, 75
89, 74
90, 74
89, 75
88, 75
88, 75
88, 75
88, 75
89, 74
89, 74
89, 75
88, 75
88, 75
89, 75
89, 75
89, 76
89, 75
89, 75
89, 75
89, 75
89, 75
89, 75
89, 75
89, 75
89, 75
89, 75
89, 75
89, 75
90, 75
90, 76
88, 78
87, 79
86, 80
84, 82
83, 82
83, 80
83, 79
83, 78
82, 79
82, 79
82, 79
82, 79
82, 79
81, 78
81, 78
81, 77
82, 77
82, 77
82, 77
82, 78
83, 78
83, 78
83, 79
84, 78
84, 78
84, 78
84, 78
84, 78
84, 78
84, 78
84, 78
84, 77
84, 77
84, 78
84, 78
84, 78
84, 79
84, 79
83, 78
83, 78
83, 77
83, 77
83, 77
82, 76
82, 76
82, 76
81, 76
81, 76
82, 76
82, 76
83, 75
85, 74
86, 73
87, 73
88, 73
89, 73
88, 75
88, 76
88, 77
87, 78
88, 80
88, 80
88, 81
87, 82
87, 82
87, 81
86, 82
86, 82
86, 82
86, 81
87, 81
87, 81
87, 81
87, 81
87, 80
88, 81
88, 81
87, 81
87, 81
88, 81
87, 81
87, 81
87, 80
88, 79
87, 79
87, 79
88, 79
87, 78
88, 78
88, 79
87, 79
88, 80
88, 80
89, 79
87, 84
87, 79
87, 79
87, 79
87, 78
87, 78
88, 77
88, 77
88, 76
89, 76
89, 75
89, 75
88, 77
88, 77
87, 77
87, 78
86, 78
87, 77
87, 76
87, 75
88, 74
88, 74
89, 74
89, 74
89, 74
90, 74
90, 73
90, 72
91, 72
91, 72
91, 72
90, 72
90, 72
90, 72
90, 72
90, 72
89, 73
89, 73
88, 74
88, 74
88, 74
88, 75
88, 75
89, 74
89, 73
90, 73
90, 73
90, 73
91, 74
91, 74
91, 74
91, 74
91, 74
91, 74
91, 73
91, 73
91, 73
91, 73
92, 73
92, 73
92, 73
91, 74
91, 74
91, 74
91, 74
91, 73
91, 73
91, 73
92, 72
92, 72
92, 73
93, 73
93, 73
93, 73
94, 73
95, 73
95, 73
95, 73
96, 73
96, 72
96, 71
97, 71
97, 71
97, 71
97, 70
97, 70
97, 69
96, 69
96, 68
97, 68
97, 68
97, 68
97, 68
97, 68
96, 68
96, 68
96, 68
96, 68
96, 68
96, 67
96, 67
96, 67
96, 67
96, 67
96, 67
96, 67
97, 68
97, 67
97, 67
97, 67
97, 67
97, 67
97, 67
97, 67
98, 67
98, 67
97, 67
97, 67
97, 67
97, 67
96, 69
92, 73
88, 75
84, 76
81, 78
80, 80
79, 80
79, 80
79, 80
81, 79
82, 79
83, 80
84, 81
85, 81
85, 82
86, 84
89, 87
92, 90
94, 93
96, 96
97, 98
98, 100
97, 101
98, 101
99, 102
100, 102
100, 102
100, 102
99, 102
97, 104
97, 105
97, 108
97, 110
97, 111
97, 113
98, 114
98, 116
97, 117
97, 118
97, 117
97, 117
98, 116
98, 116
99, 117
99, 118
98, 119
95, 117
94, 116
94, 117
93, 119
93, 121
92, 123
91, 125
91, 126
91, 126
91, 126
92, 126
92, 126
92, 125
92, 125
92, 125
92, 125
92, 126
92, 127
93, 127
94, 126
94, 126
94, 124
93, 122
93, 120
92, 118
91, 117
90, 116
89, 116
88, 116
87, 117
87, 117
