x, y
325, 64
325, 64
325, 64
325, 64
325, 65
325, 65
325, 65
325, 65
325, 65
325, 65
325, 65
325, 65
325, 65
325, 65
325, 65
325, 65
325, 64
325, 64
325, 64
325, 64
325, 64
325, 64
325, 64
325, 64
325, 64
325, 64
325, 64
325, 64
325, 64
325, 64
326, 64
325, 64
325, 64
325, 63
327, 62
328, 60
330, 59
331, 58
331, 59
331, 59
331, 59
332, 59
332, 59
333, 59
333, 59
333, 59
333, 60
332, 60
332, 61
332, 60
332, 60
332, 60
332, 60
331, 61
331, 61
331, 61
330, 61
330, 60
331, 60
330, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
331, 60
332, 60
331, 59
331, 59
332, 59
331, 60
331, 59
331, 60
332, 59
332, 60
331, 60
331, 60
332, 59
331, 60
331, 60
331, 60
330, 60
330, 60
329, 60
328, 60
328, 60
327, 61
326, 61
326, 61
325, 62
325, 62
325, 63
324, 63
324, 63
324, 63
324, 62
325, 62
325, 62
325, 62
325, 62
325, 62
325, 62
326, 62
326, 61
326, 59
326, 59
326, 59
326, 59
326, 60
325, 61
324, 62
325, 61
326, 61
327, 62
326, 63
326, 63
326, 63
326, 63
326, 63
327, 63
327, 63
327, 63
327, 63
328, 62
329, 62
330, 61
330, 61
330, 62
330, 62
330, 62
330, 62
330, 62
331, 61
332, 61
332, 61
333, 61
333, 61
334, 61
334, 61
334, 61
334, 62
333, 62
333, 62
333, 62
333, 62
333, 62
334, 61
334, 61
333, 62
333, 61
334, 61
333, 62
333, 62
333, 61
333, 62
333, 62
333, 61
334, 61
333, 61
333, 61
334, 61
334, 61
333, 61
333, 61
334, 61
333, 61
333, 61
333, 61
334, 61
334, 61
333, 61
333, 61
334, 61
334, 61
334, 61
333, 61
333, 61
334, 61
334, 61
333, 61
334, 61
334, 61
334, 61
334, 61
333, 61
331, 63
330, 63
331, 63
330, 62
330, 62
331, 62
331, 61
331, 61
331, 61
331, 61
331, 61
331, 61
331, 61
331, 61
331, 61
331, 60
331, 60
331, 60
332, 60
332, 60
333, 60
333, 60
333, 60
332, 61
332, 61
332, 61
332, 61
333, 61
333, 60
333, 60
333, 61
332, 61
332, 61
332, 61
333, 61
333, 61
333, 61
333, 61
333, 61
333, 60
333, 61
333, 60
333, 60
333, 60
333, 60
333, 60
333, 60
333, 61
333, 60
333, 60
333, 60
333, 60
333, 61
333, 60
333, 60
333, 60
333, 60
332, 60
331, 60
331, 60
331, 60
329, 61
328, 61
328, 61
328, 61
327, 62
327, 62
327, 63
327, 63
327, 63
327, 63
327, 62
328, 62
329, 61
329, 61
328, 62
329, 61
328, 61
330, 60
329, 60
329, 61
329, 60
329, 60
328, 61
329, 61
329, 61
329, 61
330, 60
329, 61
329, 62
329, 62
330, 62
331, 61
332, 61
333, 61
333, 62
333, 62
333, 62
334, 62
333, 62
333, 62
333, 62
333, 62
333, 62
333, 62
333, 62
333, 62
333, 62
333, 62
333, 62
334, 62
334, 62
333, 62
331, 63
330, 64
331, 64
331, 63
331, 63
331, 63
331, 62
330, 63
331, 62
331, 62
331, 62
330, 62
330, 63
331, 63
331, 62
331, 62
331, 62
330, 62
330, 63
330, 62
331, 62
331, 62
331, 61
331, 61
332, 60
332, 60
332, 60
333, 59
334, 58
334, 59
335, 59
334, 59
335, 59
335, 59
334, 60
334, 59
334, 60
334, 60
333, 60
333, 60
334, 59
334, 59
333, 60
333, 60
333, 60
332, 60
332, 59
332, 60
332, 60
332, 60
330, 61
330, 61
329, 61
328, 61
329, 60
329, 60
329, 60
329, 60
328, 60
328, 60
328, 61
328, 60
328, 60
328, 60
328, 61
328, 60
328, 60
328, 60
328, 60
328, 60
328, 61
327, 62
326, 63
325, 63
324, 64
324, 64
324, 64
324, 64
324, 63
323, 63
324, 62
324, 62
324, 62
324, 62
324, 62
324, 62
324, 62
324, 62
324, 62
324, 62
324, 62
324, 62
324, 62
324, 62
323, 63
322, 63
322, 64
322, 63
322, 63
322, 63
322, 63
323, 63
324, 62
326, 62
327, 61
328, 61
329, 61
329, 61
329, 61
329, 61
330, 61
329, 62
328, 63
328, 64
328, 64
328, 64
329, 64
331, 64
331, 64
330, 64
331, 64
333, 65
332, 65
329, 65
328, 66
328, 66
327, 66
327, 66
328, 65
328, 66
327, 66
327, 66
326, 67
323, 67
324, 66
324, 64
326, 63
329, 62
331, 60
332, 59
334, 58
333, 58
333, 57
333, 56
334, 55
333, 55
333, 56
333, 56
333, 56
332, 56
331, 57
330, 57
330, 58
329, 58
328, 59
328, 59
327, 59
327, 59
328, 59
328, 59
330, 58
330, 58
330, 58
331, 59
331, 59
331, 59
332, 60
331, 60
331, 60
333, 61
333, 61
333, 61
333, 62
334, 62
334, 62
336, 63
338, 64
338, 64
342, 65
344, 67
346, 68
350, 71
353, 74
355, 76
357, 78
361, 82
364, 84
369, 87
375, 93
382, 97
388, 101
392, 104
393, 104
394, 105
394, 105
392, 103
392, 103
391, 102
391, 101
391, 101
389, 99
388, 98
386, 96
384, 94
382, 91
380, 89
379, 89
376, 87
375, 86
373, 85
372, 84
370, 82
370, 81
369, 81
369, 80
368, 79
368, 78
368, 78
368, 78
366, 76
367, 75
367, 75
366, 75
367, 74
369, 74
369, 74
370, 73
372, 73
372, 73
371, 73
373, 74
373, 73
375, 72
375, 71
376, 69
377, 67
378, 66
379, 64
380, 63
381, 63
381, 62
381, 61
381, 59
382, 59
383, 59
383, 59
382, 59
382, 59
382, 59
382, 58
383, 58
384, 57
384, 57
385, 55
388, 53
391, 51
391, 52
392, 51
393, 51
392, 50
390, 49
389, 49
389, 49
388, 49
389, 49
389, 49
389, 49
389, 49
388, 50
388, 49
388, 49
388, 50
387, 50
385, 51
383, 52
382, 53
380, 54
379, 55
378, 57
377, 57
377, 57
376, 57
375, 57
374, 58
373, 58
372, 58
371, 58
371, 58
370, 59
370, 59
369, 59
368, 59
368, 59
368, 59
368, 59
368, 58
368, 58
368, 58
368, 58
367, 59
367, 59
367, 59
368, 60
368, 59
368, 59
368, 59
368, 59
368, 59
368, 59
368, 60
368, 60
367, 59
367, 59
368, 59
368, 59
367, 59
367, 59
367, 58
366, 58
365, 57
364, 56
363, 56
362, 57
360, 57
359, 56
357, 56
356, 57
356, 55
357, 54
357, 55
358, 55
359, 55
359, 55
360, 56
362, 59
363, 60
363, 59
364, 58
365, 60
366, 60
366, 61
366, 61
367, 61
367, 61
367, 60
367, 60
367, 60
366, 60
365, 61
366, 61
367, 60
367, 60
367, 59
367, 60
366, 60
366, 60
367, 60
367, 60
367, 59
367, 60
367, 59
367, 59
367, 59
367, 59
367, 59
367, 59
367, 59
367, 59
367, 59
367, 60
368, 61
369, 61
370, 61
371, 60
371, 60
371, 60
372, 60
373, 60
373, 60
373, 60
373, 60
373, 59
373, 59
374, 59
373, 59
372, 59
372, 59
372, 59
373, 59
373, 58
375, 56
376, 56
376, 56
376, 57
376, 57
375, 57
376, 56
375, 57
374, 57
372, 59
372, 59
372, 60
372, 59
372, 59
373, 58
373, 58
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
372, 59
372, 59
372, 59
372, 59
372, 59
372, 59
372, 59
372, 59
373, 59
373, 59
373, 59
373, 59
372, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
373, 59
372, 59
373, 59
373, 59
375, 59
376, 59
376, 58
376, 59
376, 58
377, 58
377, 58
378, 58
379, 58
379, 58
379, 58
378, 58
378, 59
376, 60
375, 60
373, 60
373, 58
374, 57
374, 57
374, 58
372, 59
370, 60
369, 60
368, 60
367, 60
366, 61
365, 61
365, 62
365, 62
366, 62
366, 62
365, 63
363, 63
362, 62
362, 62
363, 61
363, 61
363, 61
363, 60
363, 61
363, 61
363, 61
363, 61
363, 61
363, 61
363, 61
363, 61
363, 61
363, 60
363, 60
363, 60
363, 61
363, 61
363, 61
363, 61
363, 61
363, 61
363, 61
363, 61
363, 61
363, 61
363, 61
364, 61
364, 61
363, 61
364, 60
364, 60
364, 60
365, 60
365, 59
366, 58
367, 59
368, 60
368, 60
368, 60
