x, y
363, 384
367, 381
363, 383
362, 381
359, 375
357, 370
355, 367
356, 358
355, 353
354, 350
354, 348
354, 346
355, 344
356, 342
359, 340
361, 336
362, 333
364, 328
365, 323
369, 318
377, 312
384, 307
390, 303
395, 299
399, 297
400, 298
401, 299
401, 300
402, 300
404, 299
407, 296
408, 293
410, 289
409, 285
409, 282
410, 279
413, 276
415, 275
416, 274
418, 273
420, 271
421, 270
420, 268
420, 267
419, 267
418, 269
417, 269
415, 267
414, 264
414, 259
415, 251
415, 244
416, 237
417, 228
416, 218
415, 206
416, 194
416, 186
416, 178
416, 173
416, 169
416, 166
414, 165
412, 165
408, 167
406, 169
405, 171
404, 172
402, 171
400, 170
398, 168
395, 164
393, 160
388, 155
382, 149
380, 146
377, 142
372, 138
369, 136
367, 135
366, 135
366, 137
366, 139
366, 139
365, 140
364, 139
365, 139
366, 138
369, 136
373, 135
375, 135
376, 135
377, 135
378, 135
379, 135
377, 134
378, 135
377, 134
379, 136
378, 135
381, 138
381, 138
381, 138
380, 137
380, 137
380, 138
377, 135
377, 135
377, 134
377, 134
376, 133
377, 134
376, 133
379, 134
379, 133
378, 132
378, 131
377, 130
377, 130
378, 131
378, 132
378, 133
379, 134
379, 134
380, 136
380, 137
381, 139
381, 139
381, 139
382, 140
382, 141
381, 142
381, 142
381, 143
381, 144
380, 146
379, 147
375, 147
373, 146
370, 145
368, 145
367, 144
364, 144
360, 142
356, 141
351, 139
346, 138
341, 136
333, 132
327, 130
320, 129
314, 129
307, 129
302, 128
296, 127
291, 124
289, 121
291, 121
290, 122
290, 123
291, 125
290, 126
289, 128
288, 130
287, 132
284, 135
281, 137
275, 139
273, 143
273, 148
272, 154
269, 160
264, 166
263, 169
262, 171
262, 171
262, 170
261, 169
261, 168
262, 168
262, 169
262, 170
261, 172
260, 175
256, 182
252, 187
249, 189
246, 191
244, 194
244, 195
245, 194
247, 194
247, 193
247, 193
247, 192
248, 190
250, 190
252, 189
253, 188
254, 188
255, 188
257, 187
259, 187
260, 186
262, 185
265, 183
267, 180
270, 179
271, 177
273, 177
274, 177
275, 176
275, 176
277, 177
279, 177
280, 176
282, 173
282, 172
280, 170
278, 169
277, 169
277, 168
278, 168
279, 167
279, 167
279, 168
279, 168
279, 168
279, 168
279, 168
279, 168
279, 168
279, 169
279, 168
279, 169
279, 168
279, 168
279, 168
277, 168
275, 166
273, 165
275, 163
277, 161
279, 159
282, 158
290, 155
294, 152
299, 148
306, 140
311, 133
317, 126
323, 118
325, 110
326, 107
325, 106
325, 104
327, 100
330, 94
335, 89
339, 85
343, 82
347, 81
349, 79
348, 78
347, 78
345, 77
345, 77
344, 78
343, 79
343, 78
342, 79
342, 79
341, 80
341, 80
340, 81
340, 81
340, 81
339, 81
339, 81
339, 80
340, 80
340, 80
340, 80
340, 80
340, 80
340, 80
340, 80
340, 81
340, 81
339, 82
339, 81
339, 80
338, 80
339, 78
339, 78
339, 77
338, 77
337, 77
337, 77
336, 77
336, 77
335, 77
334, 76
333, 73
332, 72
332, 71
331, 70
331, 69
330, 69
330, 68
330, 68
330, 67
330, 67
330, 67
330, 67
330, 67
330, 67
330, 66
330, 66
330, 66
330, 66
330, 66
330, 66
330, 66
330, 65
330, 65
330, 65
330, 65
330, 65
330, 65
330, 65
330, 65
330, 65
330, 66
330, 66
330, 65
330, 65
330, 65
330, 66
330, 65
330, 65
330, 65
330, 65
330, 65
330, 65
329, 65
329, 65
329, 64
329, 64
328, 63
327, 61
327, 61
326, 60
325, 59
323, 58
322, 57
323, 56
322, 56
322, 56
323, 56
323, 57
322, 57
322, 57
322, 58
322, 59
321, 60
321, 62
322, 64
323, 67
323, 70
324, 73
324, 74
324, 76
324, 77
324, 77
324, 77
325, 76
326, 76
327, 76
328, 75
329, 75
330, 75
332, 75
332, 76
332, 76
333, 76
332, 76
333, 77
333, 77
333, 77
333, 77
333, 76
334, 76
333, 77
334, 77
334, 77
334, 77
334, 77
335, 76
335, 76
335, 76
335, 75
335, 75
335, 76
336, 76
337, 76
338, 76
339, 76
341, 75
343, 74
345, 73
346, 73
347, 73
347, 72
348, 71
348, 70
349, 69
350, 68
351, 69
354, 67
352, 65
351, 63
350, 63
350, 63
351, 65
350, 66
349, 68
349, 68
349, 68
349, 69
349, 69
349, 69
349, 70
349, 70
349, 70
349, 70
349, 70
349, 70
349, 69
349, 69
349, 69
349, 69
349, 68
349, 69
349, 69
349, 69
349, 69
349, 70
349, 70
349, 70
349, 70
349, 70
349, 70
349, 70
349, 69
349, 69
348, 70
349, 70
348, 70
348, 70
348, 69
347, 71
347, 71
346, 72
346, 72
345, 71
345, 72
344, 72
344, 72
344, 71
344, 71
344, 71
344, 71
344, 71
344, 70
344, 70
344, 70
344, 70
344, 70
344, 70
344, 70
344, 70
344, 70
344, 70
344, 72
344, 72
344, 74
344, 74
344, 74
345, 75
345, 76
345, 77
345, 76
346, 75
346, 74
346, 73
346, 72
346, 72
347, 71
349, 71
352, 70
354, 69
356, 70
357, 70
358, 71
359, 71
360, 72
361, 73
362, 74
363, 75
364, 75
365, 74
365, 72
366, 71
368, 69
371, 67
373, 65
375, 62
377, 60
378, 58
379, 57
380, 56
381, 55
381, 55
381, 56
381, 56
380, 57
379, 57
377, 58
377, 58
375, 59
374, 60
373, 60
372, 61
372, 61
372, 61
372, 61
372, 61
372, 61
372, 61
372, 60
373, 60
375, 59
377, 56
381, 50
384, 47
385, 47
385, 49
386, 51
386, 52
388, 51
388, 51
389, 51
390, 50
390, 50
390, 50
389, 49
389, 49
389, 49
388, 49
389, 49
388, 49
387, 49
386, 49
386, 49
385, 49
385, 49
385, 49
385, 49
385, 49
385, 49
385, 49
385, 49
385, 49
385, 49
385, 49
385, 49
386, 49
385, 49
385, 49
386, 49
386, 49
386, 49
386, 50
385, 49
385, 48
385, 48
386, 47
386, 47
388, 45
390, 45
391, 44
392, 43
393, 41
393, 40
393, 40
391, 41
387, 46
385, 49
381, 50
378, 51
376, 53
373, 54
372, 55
371, 55
370, 57
369, 58
369, 59
369, 60
368, 62
368, 64
368, 63
367, 61
367, 61
367, 61
367, 62
367, 63
367, 64
367, 67
367, 69
364, 71
363, 72
362, 72
362, 71
362, 71
359, 70
357, 69
356, 69
356, 68
355, 67
354, 68
353, 68
353, 69
352, 69
353, 70
354, 69
356, 69
357, 69
358, 69
360, 70
358, 68
358, 69
357, 67
357, 67
358, 68
357, 68
357, 69
356, 68
356, 67
356, 67
356, 67
357, 68
357, 68
357, 67
356, 66
356, 66
357, 68
357, 68
357, 68
356, 67
357, 67
357, 67
357, 68
356, 66
357, 67
357, 67
356, 66
357, 67
357, 67
357, 67
357, 67
357, 67
356, 66
356, 66
357, 67
358, 67
358, 67
358, 67
356, 66
357, 67
357, 67
358, 67
359, 67
359, 65
358, 64
358, 64
356, 65
351, 65
349, 65
349, 64
349, 65
350, 66
350, 67
350, 68
351, 68
352, 69
353, 69
354, 69
356, 70
356, 69
356, 69
357, 68
357, 68
357, 68
357, 68
357, 68
357, 68
357, 68
357, 68
357, 68
357, 68
357, 68
356, 68
357, 68
357, 68
357, 68
356, 68
357, 68
356, 68
356, 67
356, 68
356, 68
355, 69
354, 67
353, 67
352, 66
352, 65
353, 63
353, 61
353, 60
352, 60
353, 62
353, 63
353, 64
354, 66
354, 67
357, 68
357, 68
357, 68
357, 69
357, 69
