x, y
574, 345
573, 339
571, 333
569, 329
569, 326
569, 323
569, 321
569, 319
568, 319
566, 318
564, 317
560, 315
555, 312
547, 308
538, 302
529, 293
519, 284
511, 277
505, 272
500, 268
496, 265
491, 261
483, 258
477, 257
473, 256
471, 255
467, 255
460, 254
452, 252
445, 251
438, 250
433, 249
431, 247
430, 244
428, 243
421, 241
412, 239
399, 237
388, 235
377, 234
367, 232
359, 229
353, 226
346, 222
337, 220
328, 219
318, 219
306, 220
295, 221
285, 223
277, 224
271, 225
266, 225
257, 225
247, 225
237, 227
228, 232
222, 235
215, 238
205, 241
196, 243
189, 245
183, 245
177, 246
170, 247
161, 250
152, 254
145, 258
136, 264
130, 269
125, 273
121, 275
115, 278
108, 280
103, 283
99, 288
96, 293
94, 297
93, 299
93, 299
92, 299
91, 297
91, 294
91, 293
90, 292
91, 290
91, 290
92, 289
90, 287
89, 286
87, 284
84, 283
80, 282
77, 281
74, 281
70, 283
69, 283
68, 282
69, 279
70, 278
71, 277
73, 276
74, 275
75, 273
75, 270
75, 269
74, 267
72, 265
71, 265
71, 263
70, 262
70, 262
71, 262
71, 262
72, 262
72, 264
73, 267
72, 269
71, 271
70, 271
69, 271
67, 269
65, 266
58, 256
55, 249
53, 241
52, 232
51, 221
48, 211
46, 203
46, 195
47, 187
48, 179
48, 169
48, 161
49, 149
49, 141
48, 137
47, 131
47, 127
48, 123
49, 118
51, 114
53, 112
55, 110
57, 107
58, 105
59, 103
58, 102
58, 102
57, 102
57, 102
58, 100
60, 97
61, 97
63, 97
65, 96
67, 96
69, 97
70, 97
70, 97
70, 97
69, 97
69, 97
69, 98
69, 98
69, 98
69, 98
69, 98
69, 98
68, 99
68, 99
68, 100
68, 100
68, 101
68, 102
67, 103
66, 104
66, 103
67, 101
67, 100
67, 100
68, 98
65, 97
64, 96
63, 96
62, 96
62, 96
63, 95
63, 93
63, 90
64, 90
63, 89
60, 92
60, 91
15, 321
15, 321
15, 311
62, 87
63, 85
64, 84
64, 84
65, 83
65, 82
66, 81
66, 80
65, 82
64, 90
64, 93
63, 100
62, 102
62, 105
63, 105
62, 106
61, 106
61, 107
61, 108
60, 109
60, 110
60, 112
61, 114
61, 116
62, 118
63, 118
64, 115
65, 114
66, 113
68, 112
69, 112
68, 112
65, 113
64, 114
63, 114
62, 115
61, 115
60, 116
60, 116
61, 117
62, 118
63, 120
64, 122
64, 125
66, 127
68, 131
70, 134
71, 138
71, 141
71, 143
71, 144
71, 145
71, 145
70, 145
68, 142
67, 139
66, 136
64, 135
63, 134
62, 133
61, 131
60, 130
60, 129
60, 128
60, 127
61, 127
63, 127
65, 128
67, 127
68, 128
69, 129
71, 131
73, 133
75, 134
76, 135
76, 136
78, 137
80, 139
84, 141
88, 145
95, 151
103, 158
108, 163
114, 169
119, 175
124, 181
132, 186
138, 190
142, 191
147, 193
150, 195
152, 199
151, 200
150, 201
149, 202
150, 204
150, 205
153, 207
156, 208
161, 211
166, 214
172, 217
178, 219
183, 220
189, 221
195, 224
200, 229
206, 233
210, 238
218, 242
228, 246
240, 249
251, 251
263, 253
273, 256
283, 259
295, 262
304, 266
314, 270
323, 271
332, 272
342, 272
352, 272
361, 272
370, 273
377, 274
383, 273
388, 271
390, 269
392, 268
392, 268
392, 268
392, 268
392, 267
391, 267
390, 267
388, 266
385, 266
384, 265
385, 265
386, 265
386, 267
386, 267
386, 268
386, 268
384, 268
382, 269
381, 269
380, 269
380, 269
380, 269
379, 269
379, 269
379, 269
379, 270
379, 270
379, 270
379, 269
378, 269
378, 269
378, 270
379, 270
379, 270
380, 269
382, 268
384, 267
387, 266
391, 264
396, 263
401, 261
405, 260
406, 261
406, 262
405, 262
404, 262
404, 262
403, 262
402, 262
401, 262
398, 263
397, 264
395, 266
393, 267
390, 269
388, 269
385, 270
383, 270
382, 270
381, 270
380, 270
380, 270
380, 268
380, 266
380, 265
380, 263
379, 263
379, 261
379, 260
379, 258
378, 257
378, 256
378, 255
378, 253
377, 253
376, 252
375, 252
374, 253
374, 253
374, 253
373, 253
372, 252
371, 252
370, 253
370, 254
370, 255
371, 256
372, 257
372, 258
372, 258
373, 258
374, 257
373, 255
374, 253
373, 253
373, 250
372, 244
371, 238
370, 234
369, 229
368, 223
366, 211
365, 201
364, 188
362, 178
361, 168
361, 158
361, 148
361, 138
359, 131
357, 123
356, 109
356, 99
358, 93
360, 87
360, 83
357, 82
356, 81
355, 81
355, 80
354, 81
354, 80
354, 81
355, 82
356, 84
356, 85
356, 86
356, 87
356, 87
356, 87
356, 87
356, 87
356, 86
357, 86
357, 86
357, 86
357, 85
357, 85
357, 85
356, 85
356, 84
355, 84
355, 84
354, 82
353, 80
352, 78
350, 75
348, 74
348, 73
347, 72
347, 72
348, 71
347, 71
346, 70
346, 69
345, 68
345, 68
345, 68
345, 69
345, 70
346, 72
346, 74
344, 74
343, 76
342, 77
